model,jsd_inf,jsd_lowerCI,jsd_upperCI
noun2,0.336376137586239,0.33449182685521167,0.33834690588237937
noun,0.2268803034631041,0.22419157533052425,0.22839148869372786
freq,0.5710427119301026,0.5700338768201545,0.5719690671018253
sentKey,0.6223523487335011,0.6212675312441752,0.6234007017926122
token,0.559719175224512,0.5588150787493321,0.5605479087474006
chatGPT3.5,0.5696550839376825,0.5684217462985686,0.570192850539154
chatGPT4,0.6026473606956515,0.6019674942881972,0.6034973716717641
