model,jsd_ent,jsd_lowerCI,jsd_upperCI
noun2,0.3308735746974344,0.3304633515438323,0.3340808309652019
noun,0.21663855033119922,0.21214350673365326,0.21628720628506864
freq,0.5765472362978101,0.5761939542819996,0.5780727103429727
sentKey,0.6178503153108903,0.617540240854481,0.619735354698524
token,0.5277046020193984,0.5264122597880836,0.5280033424161663
chatGPT3.5,0.5434382614928412,0.5425398972130516,0.54407751315933
chatGPT4,0.5000443287976555,0.49940921110651754,0.5009302843010289
